LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Albany Park,6788,8014,7682,7587,7859,7771,7431,7340,7511,8471,6660,6825
Altgeld,2809,3294,3352,3812,3786,4360,5606,5900,4284,4925,4480,4463
Archer Heights,3470,3553,4814,3751,3746,3612,3948,3994,3631,4062,3714,3835
Austin,4599,4870,5489,5651,5605,5840,6362,6199,5250,5676,4957,4539
Austin-Irving,2667,3443,3534,3338,2907,3168,3591,3371,3415,3856,3263,2806
Avalon,3670,4021,4788,0,3245,4134,5709,4794,4952,5664,4743,3843
Back of the Yards,2547,2678,3286,3507,3396,3284,4135,2948,2858,4044,2749,2722
Beverly,2495,2816,2987,3228,2793,3121,3466,3551,3324,3739,3286,2919
Bezazian,3660,4131,3983,4113,4076,4267,4919,5116,4697,4579,4326,4320
Blackstone,7069,880,6333,5950,6368,4330,4601,5512,6166,6378,3538,4437
Brainerd,898,1082,1307,1264,905,1167,1123,934,1257,1226,1221,752
Brighton Park,3057,4226,5411,5092,2621,2577,3094,3286,2869,3943,3081,2661
Bucktown-Wicker Park,6002,4546,6091,4710,4305,4852,4582,5262,5720,6935,7380,7943
Budlong Woods,3686,3577,5975,3963,3977,4785,5395,5112,4126,8529,5890,3550
Canaryville,1425,1445,1690,1626,1440,1700,2905,2820,2560,2590,2510,2364
Chicago Bee,1511,1557,1794,2181,2208,1770,2240,1785,2349,2305,1870,1790
Chicago Lawn,4028,4206,4498,4547,4523,4702,5250,5485,5268,6882,5891,4008
Chinatown,13050,16426,19228,4012,0,0,6799,17570,15387,16704,15439,15151
Clearing,1245,1435,4034,3045,3315,2280,3332,3315,3026,3351,3096,3095
Coleman,3333,2655,4475,5530,5174,5265,5465,5309,3920,4228,4384,5280
"Daley, Richard J.",4547,4937,5739,5623,5878,6077,6922,6035,6027,6580,6697,6360
"Daley, Richard M.",4343,4704,6092,6281,6455,6998,6394,5595,5264,6890,4713,4490
Douglass,1472,1605,1876,1966,1839,1846,2706,2672,2196,2744,2197,1666
Dunning,5424,6592,6434,7942,7090,6614,7623,5867,6939,9944,7269,5712
Edgebrook,4306,4215,4803,5986,4405,5698,5291,4968,4757,5245,5103,5307
Edgewater,9935,10552,9141,11839,13378,9317,12479,13001,11735,12984,12242,11959
Gage Park,1218,1344,780,1735,1458,1597,2004,1857,1545,2076,1364,1202
Galewood-Mont Clare,0,0,0,0,0,0,0,0,0,0,0,0
Garfield Ridge,3823,4474,4809,4790,4829,5861,6953,5525,5681,6500,5629,4998
Greater Grand Crossing,2117,2680,2856,3790,4157,2471,2207,3110,5597,5694,4431,2472
Hall,2814,2529,3455,3775,3175,3403,3875,3948,3274,3461,2868,2692
Harold Washtington Library Center,41264,36634,38847,40249,46447,40340,41137,45185,80797,92680,78227,71921
Hegewisch,1268,1359,1549,1639,1397,1579,1442,1438,1499,1471,1597,1140
Humboldt Park,2189,2936,4974,4440,3510,3544,2075,4290,3939,7710,5704,2627
Independence,3815,3539,3131,3613,3565,2631,3657,3722,3508,3849,2865,3707
Jefferson Park,4096,4521,4888,5312,4755,4556,4566,3784,3409,3595,3410,2994
Jeffery Manor,1141,1377,1593,1602,1811,1592,1457,1287,1468,1738,1480,1009
Kelly,2449,2886,2986,3217,3036,2749,2956,2468,2854,2022,2980,2777
King,1470,1737,1639,1526,1443,1262,1795,1963,1658,1553,1436,1287
Legler Regional,1389,2835,3531,3993,4002,4258,5080,4560,4708,5759,5019,3771
Lincoln Belmont,9307,8644,9655,10067,9425,10353,11469,11049,9317,10123,10513,9600
Lincoln Park,10120,9483,15557,10203,9745,9518,10018,8982,8975,12980,9830,9290
Little Italy,7809,8016,8467,9011,8818,8801,9756,8902,8916,10466,8445,7786
Little Village,4454,4518,4802,5586,5562,5559,6148,5685,5282,5439,5054,4352
Logan Square,11684,11973,12860,12406,12178,14258,14130,13417,11320,12281,9429,8581
Lozano,9734,7850,10848,7261,4572,4613,5952,6203,5605,9845,12312,7664
Manning,3477,4214,4370,3152,3805,4010,3511,2800,3561,3874,3277,2886
Mayfair,2361,2694,2837,2934,2951,3376,3968,3103,2813,3151,2588,2621
McKinley Park,5519,5800,8242,6737,6688,5867,7242,6886,6381,8992,7305,5427
Merlo,8236,7982,13228,8842,9040,9290,9720,10067,9454,18449,14183,7855
Mount Greenwood,2562,2324,2383,2491,2487,2601,2854,2229,1838,2466,2057,1741
Near North,8119,8397,13196,9458,8888,9005,10528,9624,9430,17064,13246,9036
North Austin,1609,1835,1779,1897,1928,1820,2471,1898,1930,2262,1860,1594
North Pulaski,2716,2377,2781,3052,3076,3409,3268,3375,3458,3818,3111,2942
Northtown,5960,6472,9583,7042,6909,7548,7793,7947,7339,14109,10031,6281
Oriole Park,5584,5934,5505,6051,5714,5742,6023,6009,5842,5825,6126,5205
Portage-Cragin,3842,4181,6872,4242,4270,4513,4929,4797,4575,10300,9668,4362
Pullman,3458,3228,3971,4106,4437,5401,3458,4030,4711,5178,3969,3599
Roden,5144,5055,13132,5384,5196,5850,6148,6010,5192,17995,9305,5960
Rogers Park,11775,10925,11575,11350,11900,11250,10480,12016,10272,11376,10448,10639
Scottsdale,2744,2662,4124,3232,3201,3231,3798,3637,3712,3992,4380,2920
Sherman Park,991,1027,999,1354,1259,1313,1579,1340,1120,1486,1352,1187
South Chicago,3337,3483,3989,5075,3952,4108,4308,4296,4307,4348,3635,3402
South Shore,2299,2254,2748,2935,2678,2553,3251,3151,2491,3448,3440,2736
Sulzer Regional Library,23531,24065,20998,25531,22772,25748,27604,27064,25007,28833,26638,24472
Thurgood Marshall,3277,3392,7706,4029,3664,4135,4278,4089,4113,10292,6750,10182
Toman,1754,1875,2894,2280,2388,3310,4357,2635,1994,3338,2600,2037
Uptown,7961,7991,8878,8467,8704,9079,10513,10349,9288,10360,10470,6701
Vodak-East Side,2768,3212,5278,4475,4245,4878,4935,4502,3874,6796,6689,3398
Walker,1582,1606,2131,2009,2247,2143,2257,2093,2237,2562,2343,1899
West Belmont,3547,2844,2985,3605,3730,3600,3734,3847,3609,3870,3613,3707
West Chicago Avenue,1294,1505,2446,1898,1717,1836,2140,2003,1595,4069,3634,1654
West Englewood,2614,2735,3530,3608,3737,3728,4674,4332,4099,4664,4353,3251
West Lawn,2731,3211,4092,4253,4117,4274,4556,3989,3863,4535,4236,3188
West Loop,5465,5552,6420,6048,5566,6805,7101,6411,6437,6742,6327,5686
West Pullman,1880,579,7551,3187,471,2353,2989,3290,3714,11251,6971,3598
West Town,7600,7196,8367,8588,7496,8028,9109,8417,7662,10759,9721,8666
"Whitney M. Young, Jr.",3592,1101,6517,3712,4058,4046,4648,4757,4547,8990,5147,3867
Woodson Regional Library,5962,6571,6272,8086,7799,6070,8609,9016,8113,8894,6757,6144
Wrightwood-Ashburn,1934,2112,10695,2888,2597,2774,2821,2715,2623,7507,5842,2339
